priorita,club,allenatore,nostro_da,nostro_a,partite,ruolo,in_carica,confidenza,refutazione,verdetto,nota_breve,fonte
4,Udinese Calcio,Luigi Delneri,2016-10-15,2017-11-19,44,titolare,Luigi Delneri,alta,non_controllato,assente_da_wikidata,"Wikipedia IT conferma: subentrato a Beppe Iachini il 03/10/2016 ed esonerato il 20/11/2017 alla 13ª giornata, ",https://it.wikipedia.org/wiki/Luigi_Delneri
4,Girona FC,Pablo Machín,2014-09-09,2018-05-19,44,titolare,Pablo Machín,alta,non_controllato,date_diverse,"Machín allena il Girona senza interruzioni da marzo 2014 a fine stagione 2017-18 (189 partite totali, promozio",https://en.wikipedia.org/wiki/Pablo_Mach%C3%ADn | https://www.gironafc.cat/es/noticias/pablo-machin-pone-fin-a-su-etapa-en-el-girona
4,SV Werder Bremen,Alexander Nouri,2016-09-21,2017-10-29,43,titolare,Alexander Nouri,alta,non_controllato,assente_da_wikidata,"Wikipedia DE conferma: traghettatore dal 18/09/2016 dopo la sospensione di Skripnik, nominato titolare il 02/1",https://de.wikipedia.org/wiki/Alexander_Nouri
4,Celta de Vigo,Juan Carlos Unzué,2017-08-19,2018-05-19,42,titolare,Juan Carlos Unzué,alta,non_controllato,assente_da_wikidata,Wikipedia ES conferma il mandato da primo allenatore per la sola stagione 2017-18 (13º posto); il precedente p,https://es.wikipedia.org/wiki/Juan_Carlos_Unzu%C3%A9
4,Celta de Vigo,Óscar García,2019-11-09,2020-11-06,38,titolare,Óscar García,alta,non_controllato,assente_da_wikidata,"Wikipedia ES (Óscar García Junyent) conferma: arrivo al Celta il 04/11/2019, rinnovo nel giugno 2020 ed esoner",https://es.wikipedia.org/wiki/%C3%93scar_Garc%C3%ADa_Junyent
4,ESTAC Troyes,Jean-Louis Garcia,2017-08-05,2018-05-19,38,titolare,Jean-Louis Garcia,alta,non_controllato,assente_da_wikidata,"Wikipedia FR conferma: nominato al Troyes il 09/05/2016, promozione in Ligue 1 nel 2016-17 e separazione conse",https://fr.wikipedia.org/wiki/Jean-Louis_Garcia
4,SM Caen,Fabien Mercadal,2018-08-12,2019-05-24,38,titolare,Fabien Mercadal,alta,non_controllato,assente_da_wikidata,"Nominato l'8/6/2018 con contratto fino al 2021, licenziato il 25/5/2019 dopo la retrocessione: copre tutte le ",https://fr.wikipedia.org/wiki/Fabien_Mercadal
4,Genoa CFC,Davide Ballardini,2017-11-19,2018-10-07,36,titolare,Davide Ballardini,alta,non_controllato,date_diverse,Terzo mandato di Ballardini al Genoa: nominato il 06/11/2017 al posto di Juric (esonerato il 05/11) ed esonera,https://www.ilpost.it/2018/10/09/genoa-davide-ballardini-ivan-juric/ | https://www.genovatoday.it/sport/genoa/ballardini-ufficiale.html | https://en.wikipedia.org/wiki/2017%E2%80%9318_Genoa_CFC_season
4,AFC Bournemouth,Gary O'Neil,2022-08-31,2023-05-28,35,titolare,Gary O'Neil,alta,non_controllato,date_diverse,Stessa persona in continuità: O'Neil prende il Bournemouth da traghettatore il 30/08/2022 dopo l'esonero di Sc,https://feeds.bbci.co.uk/sport/football/65951241 | https://www.saffronwaldenreporter.co.uk/sport/national/23152516.bournemouth-turn-gary-oneil-caretaker-stint-permanent-appointment/
4,Sheffield United,Paul Heckingbottom,2021-03-14,2023-12-02,33,titolare,"Paul Heckingbottom (13/03→27/05/2021 interim; 25/11/2021→05/12/2023 titolare), ma Slaviša Jokanović in carica dal 27/05/2021 al 25/11/2021",alta,non_controllato,date_diverse,Il nostro mandato unico 2021-03-14→2023-12-02 fonde DUE spell distinti e inghiotte i ~6 mesi di Slaviša Jokano,https://en.wikipedia.org/wiki/Paul_Heckingbottom | https://www.skysports.com/football/news/11683/12478377/sheffield-united-sack-slavisa-jokanovic-and-appoint-paul-heckingbottom-as-manager-until-2026 | https://www.skysports.com/football/news/11683/12245386/paul-heckingbottom-ex-leeds-boss-named-interim-sheffield-united-manager-following-chris-wilders-exit
4,Málaga CF,Míchel,2017-03-11,2018-01-12,33,titolare,Míchel (José Miguel González Martín del Campo),alta,non_controllato,assente_da_wikidata,"Stessa persona con due nomi: il nostro «Míchel» è José Miguel González Martín del Campo, terzo tecnico del Mál","https://en.wikipedia.org/wiki/M%C3%ADchel_(footballer,_born_1963)"
4,Levante UD,Juan Muñiz,2016-09-07,2018-03-04,32,titolare,Juan Ramón López Muñiz,alta,non_controllato,assente_da_wikidata,Stessa persona: il nostro «Juan Muñiz» è Juan Ramón López Muñiz; ingaggiato il 14/6/2016 (prima gara nostra 7/,https://es.wikipedia.org/wiki/Juan_Ram%C3%B3n_L%C3%B3pez_Mu%C3%B1iz
4,Cagliari Calcio,Diego López,2017-10-22,2018-05-20,31,titolare,"Diego López (Diego Luis López, uruguaiano)",alta,non_controllato,assente_da_wikidata,Subentrato a Massimo Rastelli (esonerato il 18/10/2017) e rimasto fino a fine stagione; prima vittoria il 25/1,https://it.wikipedia.org/wiki/Cagliari_Calcio_2017-2018
4,Granada CF,Robert Moreno,2021-08-16,2022-03-05,29,titolare,Robert Moreno,alta,non_controllato,assente_da_wikidata,"Ingaggio ufficiale il 18/6/2021, destituito per i risultati il 6/3/2022: l'ultima nostra gara (5/3/2022) è il ",https://es.wikipedia.org/wiki/Robert_Moreno
4,Sevilla FC,Eduardo Berizzo,2017-08-16,2017-12-20,27,titolare,Eduardo Berizzo,alta,non_controllato,assente_da_wikidata,"In carica dal 7/6/2017 al 22/12/2017; attenzione: operato di tumore alla prostata, saltò 4 partite fra il 22/1",https://es.wikipedia.org/wiki/Eduardo_Berizzo
4,US Cremonese,Davide Ballardini,2023-01-17,2023-08-14,25,titolare,Davide Ballardini,alta,non_controllato,assente_da_wikidata,"Nominato il 15/1/2023 al posto di Alvini (prima gara 17/1, Coppa Italia) con contratto fino al 2024; esonerato",https://it.wikipedia.org/wiki/Davide_Ballardini | https://it.wikipedia.org/wiki/Unione_Sportiva_Cremonese_2022-2023
4,Udinese Calcio,Massimo Oddo,2017-11-26,2018-04-22,24,titolare,Massimo Oddo,alta,non_controllato,assente_da_wikidata,Subentrato a Luigi Delneri (esonerato dopo la sconfitta interna col Cagliari del 19/11/2017) e in panchina dal,https://it.wikipedia.org/wiki/Udinese_Calcio_2017-2018
4,Deportivo de La Coruña,Pepe Mel,2017-03-02,2017-10-23,24,titolare,Pepe Mel,alta,non_controllato,assente_da_wikidata,"Nominato il 28/02/2017 al posto di Gaizka Garitano per evitare la retrocessione, esonerato il 23/10/2017 con l",https://es.wikipedia.org/wiki/Pepe_Mel
4,FC Augsburg,Manuel Baum,2025-12-06,2026-05-16,22,titolare,Manuel Baum,alta,non_controllato,club_senza_storia,"Secondo mandato: subentra a Wagner il 01/12/2025 inizialmente ad interim, poi confermato con contratto fino al",https://de.wikipedia.org/wiki/Manuel_Baum | https://de.wikipedia.org/w/index.php?title=Fu%C3%9Fball-Bundesliga_2025/26&action=raw
4,Nîmes Olympique,Jérôme Arpinon,2020-08-23,2021-02-03,22,titolare,Jérôme Arpinon,alta,non_controllato,assente_da_wikidata,"Vice (adjoint) dal 2016 al 2020, ma promosso entraîneur principale nel giugno 2020 al posto di Bernard Blaquar",https://fr.wikipedia.org/wiki/J%C3%A9r%C3%B4me_Arpinon
4,FC Girondins Bordeaux,Gustavo Poyet,2018-01-28,2018-08-16,21,titolare,Gustavo Poyet,alta,non_controllato,assente_da_wikidata,Titolare dal 20/01/2018 (dopo Gourvennec) fino alla sospensione del 17/08/2018 ed esonero formale il 05/09/201,https://en.wikipedia.org/wiki/Gus_Poyet
4,West Bromwich Albion,Alan Pardew,2017-12-02,2018-03-31,21,titolare,Alan Pardew,alta,non_controllato,assente_da_wikidata,"Nominato il 29/11/2017 al posto di Tony Pulis con contratto fino al 2020, separazione consensuale il 02/04/201",https://en.wikipedia.org/wiki/Alan_Pardew
4,Genoa CFC,Ivan Juric,2017-04-15,2017-11-04,20,titolare,Ivan Jurić,alta,non_controllato,date_diverse,"Secondo mandato di Jurić al Genoa: richiamato il 10/04/2017 al posto di Mandorlini, confermato per la stagione",https://www.calciomercato.com/notizie/genoa-mandorlini-via-torna-juric/700970 | https://www.genovatoday.it/sport/genoa/mandorlini-esonerato-juric.html | https://en.wikipedia.org/wiki/2016%E2%80%9317_Genoa_CFC_season
4,Málaga CF,José González,2018-01-22,2018-05-19,19,titolare,José González,alta,non_controllato,assente_da_wikidata,Subentra il 13/01/2018 a Míchel esonerato e resta titolare fino a fine stagione (contratto chiuso il 22/06/201,https://en.wikipedia.org/wiki/2017%E2%80%9318_M%C3%A1laga_CF_season
4,Brescia Calcio,Diego López,2020-02-09,2020-10-28,17,titolare,Diego López,alta,non_controllato,date_diverse,"Corretto ma sono DUE mandati fusi in uno: ingaggiato il 5/2/2020 (giornate 23-38 di Serie A), risoluzione cons",https://it.wikipedia.org/wiki/Diego_Luis_L%C3%B3pez | https://it.wikipedia.org/wiki/Brescia_Calcio_2019-2020 | https://it.wikipedia.org/wiki/Brescia_Calcio_2020-2021
4,VfL Wolfsburg,Andries Jonker,2017-03-04,2017-09-16,17,titolare,Andries Jonker,alta,non_controllato,assente_da_wikidata,"Titolare dal 27/02/2017 (dopo Valérien Ismaël) all'esonero del 18/09/2017, sostituito da Martin Schmidt: la no",https://en.wikipedia.org/wiki/Andries_Jonker
4,Fulham FC,Slavisa Jokanovic,2016-01-09,2018-11-11,17,titolare,Slaviša Jokanović,alta,non_controllato,assente_da_wikidata,"Titolare ininterrotto dal 27/12/2015 all'esonero del 14/11/2018 (promozione ai playoff 2018, poi sostituito da",https://en.wikipedia.org/wiki/Slavi%C5%A1a_Jokanovi%C4%87
4,US Salernitana 1919,Stefano Colantuono,2021-10-23,2022-02-13,16,titolare,Stefano Colantuono,alta,non_controllato,assente_da_wikidata,Nominato il 17/10/2021 al posto dell'esonerato Fabrizio Castori ed esonerato il 15/02/2022: le nostre date (pr,https://it.wikipedia.org/wiki/Stefano_Colantuono
4,Hannover 96,Thomas Doll,2019-02-01,2019-05-18,15,titolare,Thomas Doll,alta,non_controllato,assente_da_wikidata,Subentrato ad Andre Breitenreiter il 28/01/2019 e in carica fino all'ultima giornata di Bundesliga 2018-19 (18,https://de.wikipedia.org/wiki/Thomas_Doll
4,Stoke City,Paul Lambert,2018-01-20,2018-05-13,15,titolare,Paul Lambert,alta,non_controllato,assente_da_wikidata,"Nominato il 15/01/2018 al posto di Mark Hughes, uscito per accordo consensuale a maggio 2018: il nostro 20/01-",https://en.wikipedia.org/wiki/Paul_Lambert
4,Deportivo de La Coruña,Cristóbal Parralo,2017-10-26,2018-02-02,15,titolare,Cristóbal Parralo,alta,non_controllato,assente_da_wikidata,Nominato il 24/10/2017 al posto di Pepe Mel e destituito il 04/02/2018 dopo 15 partite: coincide col nostro co,https://es.wikipedia.org/wiki/Crist%C3%B3bal_Parralo
4,Celta de Vigo,Miguel Cardoso,2018-11-26,2019-03-03,15,titolare,Miguel Cardoso,alta,non_controllato,assente_da_wikidata,"In carica dal 12/11/2018 (dopo Antonio Mohamed) al 03/03/2019, quando fu sostituito lo stesso giorno da Fran E",https://es.wikipedia.org/wiki/Miguel_Cardoso
4,Spezia Calcio,Leonardo Semplici,2023-02-26,2023-06-04,15,titolare,Leonardo Semplici,alta,non_controllato,assente_da_wikidata,Ingaggiato il 23/02/2023 al posto dell'esonerato Luca Gotti e in carica fino al playout perso col Verona (11/0,https://it.wikipedia.org/wiki/Leonardo_Semplici
4,FC Augsburg,Sandro Wagner,2025-08-17,2025-11-29,14,titolare,Sandro Wagner,alta,non_controllato,club_senza_storia,"Assunto per la stagione 2025/26 con contratto fino al 30/06/2028, separazione il 01/12/2025 dopo 10 punti in 1",https://de.wikipedia.org/wiki/Sandro_Wagner | https://de.wikipedia.org/w/index.php?title=Fu%C3%9Fball-Bundesliga_2025/26&action=raw
4,Real Valladolid CF,Álvaro Rubio,2025-02-23,2025-05-24,14,titolare,Álvaro Rubio,alta,non_controllato,date_diverse,Secondo mandato: promosso dal Valladolid Promesas dopo l'esonero di Diego Cocca (17/2/2025) e in carica fino a,https://es.wikipedia.org/wiki/%C3%81lvaro_Rubio
4,FC Crotone,Serse Cosmi,2021-03-03,2021-05-22,14,titolare,Serse Cosmi,alta,non_controllato,assente_da_wikidata,Ingaggiato l'01/03/2021 al posto dell'esonerato Giovanni Stroppa; la fonte gli attribuisce esattamente 14 part,https://it.wikipedia.org/wiki/Serse_Cosmi
4,Udinese Calcio,Julio Velázquez,2018-08-11,2018-11-11,13,titolare,Julio Velázquez,alta,non_controllato,assente_da_wikidata,Nominato il 07/07/2018 ed esonerato il 13/11/2018 (sostituito da Davide Nicola): il nostro 11/08 e' la prima g,https://it.wikipedia.org/wiki/Julio_Vel%C3%A1zquez
4,Celta de Vigo,Antonio Mohamed,2018-08-18,2018-11-11,13,titolare,Antonio Mohamed,alta,non_controllato,assente_da_wikidata,Nominato il 22/05/2018 con contratto biennale ed esonerato il 12/11/2018 dopo 13 partite ufficiali: coincide e,https://es.wikipedia.org/wiki/Antonio_Mohamed
4,AS Saint-Étienne,Óscar García,2017-08-05,2017-11-05,12,titolare,Óscar García (Óscar García Junyent),alta,non_controllato,assente_da_wikidata,Allenatore titolare del Saint-Étienne dal 15/06/2017 fino alle dimissioni annunciate il 14/11/2017; sostituito,https://fr.wikipedia.org/wiki/%C3%93scar_Garc%C3%ADa_Junyent
4,FC Empoli,Aurelio Andreazzoli,2018-08-12,2018-11-02,12,titolare,Aurelio Andreazzoli,alta,non_controllato,date_diverse,Primo mandato all'Empoli (17/12/2017 - esonero il 5/11/2018 dopo il 5-1 di Napoli del 2/11): il nostro interva,https://it.wikipedia.org/wiki/Aurelio_Andreazzoli
4,Chievo Verona,Lorenzo D'Anna,2018-05-06,2018-10-07,12,titolare,Lorenzo D'Anna,alta,non_controllato,assente_da_wikidata,"Promosso dalla Primavera il 29/04/2018 al posto dell'esonerato Maran, confermato titolare per il 2018-19 ed es",https://it.wikipedia.org/wiki/Lorenzo_D%27Anna
4,Benevento Calcio,Marco Baroni,2016-08-07,2017-10-22,11,titolare,Marco Baroni,alta,non_controllato,assente_da_wikidata,"Titolare del Benevento dal 29/06/2016 (promozione in Serie A) all'esonero del 23/10/2017, sostituito da De Zer",https://it.wikipedia.org/wiki/Marco_Baroni_(allenatore)
4,Hamburger SV,Tim Walter,2021-08-08,2023-12-06,10,titolare,Tim Walter,alta,non_controllato,assente_da_wikidata,Titolare dell'HSV dal 25/05/2021 all'esonero del febbraio 2024: il nostro intervallo è tutto interno al mandat,https://de.wikipedia.org/wiki/Tim_Walter
4,US Salernitana 1919,Stefano Colantuono,2024-04-01,2024-05-25,9,titolare,Stefano Colantuono,alta,non_controllato,assente_da_wikidata,"Nominato tecnico della prima squadra il 19/03/2024 dopo l'esonero di Liverani, con incarico fino al termine de",https://it.wikipedia.org/wiki/Stefano_Colantuono
4,Luton Town,Nathan Jones,2016-11-05,2019-01-05,9,titolare,Nathan Jones,alta,non_controllato,date_diverse,"Primo mandato al Luton: nominato il 6/1/2016, lasciato il 9/1/2019 per lo Stoke City - il nostro intervallo è ",https://en.wikipedia.org/wiki/Nathan_Jones_(Welsh_footballer)
4,Deportivo Alavés,Giovanni De Biasi,2017-09-23,2017-11-25,9,titolare,Gianni (Giovanni) De Biasi,alta,non_controllato,assente_da_wikidata,De Biasi fu titolare dal 22/09 al 27/11/2017; l'interruzione è rovesciata rispetto al sospetto: è Javier Cabel,https://it.wikipedia.org/wiki/Gianni_De_Biasi | https://es.wikipedia.org/wiki/Javier_Cabello
4,Getafe CF,Míchel,2021-08-13,2021-10-03,8,titolare,Míchel González (José Miguel González Martín del Campo),alta,non_controllato,assente_da_wikidata,"Titolare dal 27/05/2021 (al posto di Bordalás) all'esonero del 04/10/2021 dopo 8 giornate, coerente con le nos",https://es.wikipedia.org/wiki/M%C3%ADchel_Gonz%C3%A1lez | https://es.wikipedia.org/wiki/M%C3%ADchel_S%C3%A1nchez
4,Hamburger SV,Bernd Hollerbach,2018-01-27,2018-03-10,7,titolare,Bernd Hollerbach,alta,non_controllato,assente_da_wikidata,Cheftrainer HSV dal 22/01/2018 (dopo Gisdol) all'esonero del 12/03/2018 (poi Christian Titz): la fonte conta e,https://de.wikipedia.org/wiki/Bernd_Hollerbach
4,Holstein Kiel,Ole Werner,2019-10-30,2021-08-07,7,titolare,Ole Werner,alta,non_controllato,assente_da_wikidata,"Interim dal 16/09/2019 dopo l'esonero di Schubert, promosso Cheftrainer definitivo il 24/10/2019 (contratto fi",https://de.wikipedia.org/wiki/Ole_Werner
4,US Cremonese,Attilio Tesser,2016-07-31,2017-08-12,5,titolare,Attilio Tesser,alta,non_controllato,assente_da_wikidata,"Titolare della Cremonese dal 31/05/2016 all'esonero del 23/04/2018 (vittoria del girone A di Lega Pro 2016-17,",https://it.wikipedia.org/wiki/Attilio_Tesser
4,Hamburger SV,Hannes Wolf,2018-10-30,2019-04-23,4,titolare,Hannes Wolf,alta,non_controllato,assente_da_wikidata,"Cheftrainer HSV dal 23/10/2018 (dopo Titz) fino a fine stagione 2018-19, poi Hecking: le 4 partite viste sono ",https://de.wikipedia.org/wiki/Hannes_Wolf_(Fu%C3%9Fballtrainer)
4,Real Valladolid CF,Luis César Sampedro,2017-09-06,2017-11-28,4,titolare,Luis César Sampedro,alta,non_controllato,assente_da_wikidata,Titolare del Valladolid dal 23/06/2017 all'esonero del 14/04/2018 (poi Sergio Gonzalez): la nostra finestra se,https://es.wikipedia.org/wiki/Luis_C%C3%A9sar_Sampedro
4,Deportivo Alavés,Luis Zubeldía,2017-08-18,2017-09-17,4,titolare,Luis Zubeldía,alta,non_controllato,assente_da_wikidata,Nominato titolare il 17/06/2017 al posto di Pellegrino con contratto annuale ed esonerato il 17/09/2017 dopo l,https://es.wikipedia.org/wiki/Luis_Zubeld%C3%ADa
4,Huddersfield Town,Lee Grant,2025-08-13,2025-11-01,4,titolare,Lee Grant,alta,non_controllato,assente_da_wikidata,Manager titolare dell'Huddersfield con contratto triennale dal 28/05/2025 (dopo Michael Duff) fino all'esonero,"https://en.wikipedia.org/wiki/Lee_Grant_(footballer,_born_1983)"
4,Elche CF,Vicente Mir,2017-08-30,2017-10-25,4,titolare,Vicente Mir,alta,non_controllato,assente_da_wikidata,Mir firma con l'Elche nel giugno 2017 (Segunda B) ed è destituito il 13/11/2017 dopo il ko con il Formentera: ,https://es.wikipedia.org/wiki/Vicente_Mir | https://www.lavanguardia.com/local/valencia/20171113/432862142378/el-elche-destituye-al-entrenador-vicente-mir.html
4,UD Almería,Fran Fernández,2018-09-11,2018-12-05,4,titolare,Fran Fernández,alta,non_controllato,assente_da_wikidata,La tabella della Segunda 2018-19 dà Fran Fernández allenatore dell'Almería per l'intera stagione e non registr,https://es.wikipedia.org/wiki/Segunda_Divisi%C3%B3n_de_Espa%C3%B1a_2018-19
4,Benevento Calcio,Cristian Bucchi,2018-08-05,2019-01-13,4,titolare,Cristian Bucchi,alta,non_controllato,assente_da_wikidata,Bucchi è nominato al Benevento il 6 luglio 2018 e resta fino ai playoff di maggio 2019: la finestra 05/08/2018,https://it.wikipedia.org/wiki/Cristian_Bucchi
4,SpVgg Greuther Fürth,Alexander Zorniger,2023-08-12,2024-08-17,3,titolare,Alexander Zorniger,alta,non_controllato,nome_diverso,Zorniger ha allenato il Fürth dal 24/10/2022 al 21/10/2024: entrambe le nostre date sono dentro il suo mandato,https://en.wikipedia.org/wiki/Alexander_Zorniger | https://www.bundesliga.com/de/2bundesliga/news/spvgg-greuther-furth-jan-siewert-trainer-entlassung-32051
4,SV Darmstadt 98,Markus Anfang,2020-09-13,2021-02-02,3,titolare,Markus Anfang,alta,non_controllato,assente_da_wikidata,"Anfang guida il Darmstadt per tutta la stagione 2020-21 (contratto fino al 30/06/2022, poi lascia per il Werde",https://de.wikipedia.org/wiki/Markus_Anfang
4,Holstein Kiel,Tim Walter,2018-08-19,2019-02-06,3,titolare,Tim Walter,alta,non_controllato,date_diverse,Walter fu nominato nel maggio 2018 per tutta la stagione 2018-19: copre agosto 2018 e febbraio 2019; il 2026-0,https://de.wikipedia.org/wiki/Tim_Walter
4,Cardiff City,Ömer Riza,2025-01-09,2025-02-28,3,titolare,Ömer Rıza,alta,non_controllato,nome_diverso,"Stessa persona: ""Ömer Riza"" e ""Ömer Rıza"" (ı turca senza punto) sono la medesima grafia; interim dal 23/09/202",https://www.cardiffcityfc.co.uk/news/omer-riza-appointed-first-team-manager | https://www.skysports.com/football/news/11704/13351591/cardiff-city-omer-riza-sacked-and-aaron-ramsey-named-interim-head-coach-as-bluebirds-battle-against-championship-relegation
4,US Lecce,Roberto Rizzo,2017-07-30,2017-08-12,3,titolare,Roberto Rizzo,alta,non_controllato,assente_da_wikidata,Wikipedia dà Rizzo allenatore del Lecce dalla 1ª alla 3ª giornata 2017-18 (poi Maragliulo ad interim e Liveran,https://it.wikipedia.org/wiki/Unione_Sportiva_Lecce_2017-2018
4,Málaga CF,Sergio Pellicer,2020-12-16,2021-01-17,3,titolare,Sergio Pellicer,alta,non_controllato,date_diverse,"Pellicer fu tecnico titolare del Malaga dall'11/01/2020 al 31/05/2021, quindi in carica a dicembre 2020 e genn",https://en.wikipedia.org/wiki/Sergio_Pellicer | https://es.wikipedia.org/wiki/Sergio_Pellicer
4,Real Oviedo,Cuco Ziganda,2020-12-15,2021-12-01,3,titolare,"José Ángel ""Cuco"" Ziganda",alta,non_controllato,nome_diverso,"Stessa persona: ""Cuco"" è il soprannome di José Ángel Ziganda Lakunza, all'Oviedo da febbraio 2020 a giugno 202",https://en.wikipedia.org/wiki/Jos%C3%A9_%C3%81ngel_Ziganda | https://www.laliga.com/noticias/jose-angel-ziganda-deja-de-ser-entrenador-del-real-oviedo
4,Granada CF,Pacheta,2025-10-28,2026-01-06,3,titolare,"José Rojo Martín ""Pacheta""",alta,non_controllato,nome_diverso,"Stessa persona: ""Pacheta"" è il soprannome di José Rojo Martín, nominato dal Granada il 14/05/2025 con contratt",https://www.granadacf.es/noticias/comunicado-oficial-or-jose-rojo-martin-pacheta-nuevo-entrenador-del-granada-cf | https://www.diariodeleon.es/deportes/260105/2071469/granada-rayo-vallecano-cierran-dieciseisavos-copa-rey.html
4,1.FC Nuremberg,Cristian Fiél,2023-08-12,2023-11-01,2,titolare,Cristian Fiél,alta,non_controllato,assente_da_wikidata,Fiél è capoallenatore del Norimberga dal 2 giugno 2023 al 3 giugno 2024 (poi Hertha): le 2 gare di DFB-Pokal d,https://de.wikipedia.org/wiki/Cristian_Fi%C3%A9l
4,Brescia Calcio,Roberto Boscaglia,2017-08-06,2017-08-12,2,titolare,Roberto Boscaglia,alta,non_controllato,date_diverse,Secondo mandato al Brescia dal 03/06/2017 fino all'esonero dopo otto giornate: copre le due gare di Coppa Ital,https://it.wikipedia.org/wiki/Roberto_Boscaglia
4,Brescia Calcio,David Suazo,2018-08-05,2018-08-12,2,titolare,David Suazo,alta,non_controllato,nome_diverso,"Suazo fu il titolare del Brescia da giugno 2018 fino all'esonero del 18/09/2018: guidò 5 gare, di cui le 2 di ",https://it.wikipedia.org/wiki/Brescia_Calcio_2018-2019 | https://www.cagliarinews24.com/brescia-ufficiale-esonero-suazo/
4,Brescia Calcio,Pep Clotet,2022-08-06,2022-10-19,2,titolare,Pep Clotet,alta,non_controllato,assente_da_wikidata,"Clotet guida il Brescia dalla 1ª alla 18ª giornata 2022-23, esonerato il 21/12/2022: le 2 gare di Coppa Italia",https://it.wikipedia.org/wiki/Brescia_Calcio_2022-2023
4,Brescia Calcio,Rolando Maran,2024-08-11,2024-09-26,2,titolare,Rolando Maran,alta,non_controllato,date_diverse,Maran guido' il Brescia dal 14/11/2023 fino all'esonero dopo la 16a giornata (dicembre 2024): era in panchina ,https://it.wikipedia.org/wiki/Rolando_Maran | https://it.wikipedia.org/wiki/Brescia_Calcio_2024-2025
4,Hannover 96,Christoph Dabrowski,2022-01-19,2022-03-02,2,titolare,Christoph Dabrowski,alta,non_controllato,assente_da_wikidata,"Subentrato ad interim a Jan Zimmermann a inizio dicembre 2021, il 21/12/2021 riceve il contratto da capo allen",https://de.wikipedia.org/wiki/Christoph_Dabrowski | https://de.wikipedia.org/wiki/DFB-Pokal_2021/22
4,Holstein Kiel,Markus Anfang,2017-08-11,2017-10-24,2,titolare,Markus Anfang,alta,non_controllato,assente_da_wikidata,"Anfang guida l'Holstein Kiel senza interruzioni da fine agosto 2016 al 2018, promozione in 2. Bundesliga compr",https://de.wikipedia.org/wiki/Markus_Anfang
4,CA Osasuna,Diego Martínez,2017-09-07,2017-09-20,2,titolare,Diego Martínez (Diego Martínez Penas),alta,non_controllato,assente_da_wikidata,"Il nostro ""Diego Martínez"" è Diego Martínez Penas, annunciato dall'Osasuna il 14/06/2017 e rimasto per l'inter",https://es.wikipedia.org/wiki/Diego_Mart%C3%ADnez_Penas
4,US Salernitana 1919,Alberto Bollini,2017-08-06,2017-08-12,2,titolare,Alberto Bollini,alta,non_controllato,assente_da_wikidata,Bollini apre da titolare la stagione 2017-18 della Salernitana e resta fino a dicembre 2017 (poi Colantuono): ,https://it.wikipedia.org/wiki/Unione_Sportiva_Salernitana_1919_2017-2018
4,US Salernitana 1919,Stefano Colantuono,2018-08-05,2018-08-12,2,titolare,Stefano Colantuono,alta,non_controllato,assente_da_wikidata,"Colantuono, arrivato a dicembre 2017, è il titolare che apre anche la stagione 2018-19 e si dimette il 18/12/2",https://it.wikipedia.org/wiki/Unione_Sportiva_Salernitana_1919_2018-2019
4,US Salernitana 1919,Gian Piero Ventura,2019-08-10,2019-08-17,2,titolare,Gian Piero Ventura,alta,non_controllato,assente_da_wikidata,"Ventura è il titolare per tutta la stagione 2019-20 della Salernitana, ingaggiato da Lotito in estate e lascia",https://it.wikipedia.org/wiki/Unione_Sportiva_Salernitana_1919_2019-2020
4,US Salernitana 1919,Giovanni Martusciello,2024-08-12,2024-09-25,2,titolare,Giovanni Martusciello,alta,non_controllato,assente_da_wikidata,Martusciello guida la Salernitana dalla 1ª alla 13ª giornata 2024-25 (agosto-novembre 2024): sia il 12/08 sia ,https://it.wikipedia.org/wiki/Unione_Sportiva_Salernitana_1919_2024-2025
4,Como 1907,Giacomo Gattuso,2021-08-07,2022-08-06,2,titolare,Giacomo Gattuso,alta,non_controllato,assente_da_wikidata,"Gattuso è capoallenatore del Como dal 1/12/2020 (esonero di Banchini) fino a settembre 2022, sostituito da Mor",https://it.wikipedia.org/wiki/Giacomo_Gattuso | https://it.wikipedia.org/wiki/Como_1907
4,Málaga CF,José Alberto López,2021-12-02,2021-12-14,2,titolare,José Alberto López,alta,non_controllato,assente_da_wikidata,José Alberto López è allenatore titolare del Málaga dal 1/6/2021 al 24/1/2022: le due partite di Copa del Rey ,https://es.wikipedia.org/wiki/Jos%C3%A9_Alberto_L%C3%B3pez
4,US Cremonese,Massimo Rastelli,2019-08-11,2019-08-18,2,titolare,Massimo Rastelli,alta,non_controllato,assente_da_wikidata,Rastelli guida la Cremonese dal 5/11/2018 all'8/10/2019 (primo dei due mandati): le partite dell'agosto 2019 s,https://it.wikipedia.org/wiki/Massimo_Rastelli
4,US Cremonese,Pierpaolo Bisoli,2020-09-30,2020-10-28,2,titolare,Pierpaolo Bisoli,alta,non_controllato,assente_da_wikidata,Bisoli subentra alla Cremonese il 5/3/2020 ed è esonerato il 7/1/2021: l'intervallo 30/9-28/10/2020 è interame,https://it.wikipedia.org/wiki/Pierpaolo_Bisoli
4,Spezia Calcio,Fabio Gallo,2017-08-05,2017-08-12,2,titolare,Fabio Gallo,alta,non_controllato,assente_da_wikidata,"Gallo è annunciato allenatore dello Spezia il 14/6/2017 e resta fino a fine stagione 2017-18 (decimo posto, no",https://it.wikipedia.org/wiki/Fabio_Gallo
